,PHARMACLASS,DRUG
3003159,N0000175685,N02AF
3003160,N0000170118,C10AB
3003161,N0000182141,L01EX
3003162,N0000009871,A06AD
3003163,N0000175085,L01CD
3003164,N0000007681,N01BB
3003165,N0000175763,N02CC
3003166,N0000175912,A10BH
3003167,N0000175960,R05CB
3003168,N0000175628,R06AX
3003169,N0000000166,A10BF
3003170,N0000175629,C05AD
3003171,N0000000111,L01BA
3003172,N0000175085,L01CD
3003173,N0000007618,N04BC
3003174,N0000010217,S01LA
3003176,N0000000236,L01AX
3003177,N0000008486,N03AD
3003178,N0000191280,J01XA
3003179,N0000008241,G03BA
3003180,N0000175075,L01XG
3003181,N0000187063,L01EC
3003182,N0000000250,N05CH
3003183,N0000175764,N02CC
3003184,N0000000233,L01XX
3003185,N0000007542,N05CD
3003186,N0000175730,M03BX
3003187,N0000178477,C09AA
3003188,N0000182141,J01FA
3003189,N0000175817,A04AA
3003190,N0000175450,S02BA
3003191,N0000182137,N06AX
3003192,N0000000176,L01CE
3003193,N0000166469,C03AA
3003194,N0000007606,J01MA
3003195,N0000175372,A08AA
3003196,N0000007542,N05CD
3003197,N0000175073,L01XA
3003198,N0000175459,D01AE
3003199,N0000184306,C05AD
3003200,N0000175459,S01AD
3003201,N0000185503,B01AC
3003202,N0000007822,S03AA
3003203,N0000007556,C08CA
3003204,N0000011281,J01CF
3003205,N0000182137,N05BA
3003206,N0000008241,G03XA
3003207,N0000008048,J01EC
3003208,N0000000102,N06AX
3003209,N0000007544,N05AB
3003210,N0000009034,R06AE
3003211,N0000020019,A16AX
3003212,N0000175372,A08AA
3003213,N0000000194,H01CB
3003214,N0000190114,J05AE
3003215,N0000007570,N05CF
3003216,N0000175976,N01BB
3003217,N0000187062,V03AC
3003218,N0000000102,A08AA
3003219,N0000175459,S01AD
3003220,N0000007853,J01GB
3003221,N0000175721,M02AA
3003222,N0000171207,L01XD
3003223,N0000185499,A06AX
3003224,N0000000236,L01AA
3003225,N0000007700,L01XF
3003227,N0000011301,G03DC
3003228,N0000175686,N02AF
3003229,N0000009922,R03CC
3003230,N0000175721,S01BC
3003231,N0000008065,L04AX
3003232,N0000175788,C01EB
3003233,N0000182728,N03AX
3003234,N0000175755,C01CA
3003235,N0000175460,J05AG
3003236,N0000175448,A10BX
3003237,N0000175076,L01EX
3003238,N0000008841,D01AE
3003239,N0000008118,R03DA
3003240,N0000175459,J05AP
3003241,N0000175076,L01EJ
3003242,N0000175721,M01AE
3003243,N0000007606,S01AE
3003244,N0000191274,B02BX
3003245,N0000182140,J02AC
3003246,N0000008486,N03AB
3003247,N0000175721,G02CC
3003248,N0000175624,S01XA
3003249,N0000175359,C03AA
3003250,N0000181815,L04AA
3003252,N0000175684,N01AH
3003253,N0000007707,M05BA
3003254,N0000175459,J05AF
3003255,N0000187061,J01EA
3003256,N0000009801,D05BA
3003258,N0000000100,G03CA
3003259,N0000182141,J05AE
3003260,N0000007647,C05AE
3003261,N0000007706,S01EE
3003262,N0000008217,J02AC
3003263,N0000000104,N07AB
3003264,N0000000176,L01DB
3003265,N0000186774,J04AK
3003266,N0000175728,N05CF
3003267,N0000011161,J01DC
3003268,N0000000243,L02BB
3003269,N0000000236,L01AD
3003270,N0000175764,N02CC
3003271,N0000182140,A02BC
3003272,N0000175764,N02CC
3003273,N0000000116,M03BX
3003274,N0000007542,N05BA
3003275,N0000000109,A08AA
3003276,N0000175450,D07AB
3003277,N0000000102,N06AX
3003279,N0000000151,A02BA
3003280,N0000006014,P03AC
3003281,N0000009948,J05AG
3003282,N0000175628,S01GX
3003284,N0000175542,N04BB
3003286,N0000175684,N01AH
3003287,N0000187058,A10BK
3003289,N0000182137,C01BD
3003290,N0000008486,N02BF
3003291,N0000175516,R01AX
3003292,N0000007681,N01BB
3003293,N0000000070,C09CA
3003295,N0000175733,M03AB
3003296,N0000175076,L01EB
3003297,N0000007715,C01CA
3003298,N0000000102,N06AX
3003299,N0000007542,N05BA
3003300,N0000170119,A10BG
3003301,N0000175628,A01AD
3003302,N0000175460,J05AG
3003303,N0000175764,N02CC
3003304,N0000007911,A07AA
3003305,N0000175366,C03CA
3003306,N0000000125,G04BD
3003307,N0000007698,A10BA
3003308,N0000175684,N02AA
3003309,N0000008048,J01EC
3003311,N0000175550,S01XA
3003312,N0000175459,D06BB
3003313,N0000182141,J05AE
3003314,N0000000176,L01DB
3003317,N0000000111,L01BA
3003318,N0000011161,J01DC
3003319,N0000175456,A06AX
3003320,N0000175450,D07AB
3003321,N0000175644,C02BB
3003322,N0000011161,J01DD
3003323,N0000020060,J05AB
3003324,N0000175721,S01BC
3003325,N0000000104,N07AX
3003326,N0000020026,G04BE
3003327,N0000009922,R03AB
3003328,N0000011280,B01AC
3003329,N0000175085,L01CD
3003330,N0000175684,N01AH
3003331,N0000009947,J05AF
3003332,N0000007529,S01AA
3003333,N0000175459,J05AF
3003334,N0000175459,J05AB
3003335,N0000009945,C03XA
3003336,N0000190113,L01EC
3003337,N0000175459,J05AF
3003338,N0000006996,H05BX
3003339,N0000182141,J02AC
3003340,N0000175817,A03AE
3003341,N0000182141,C01BD
3003343,N0000009065,C04AD
3003344,N0000175967,B02BX
3003345,N0000175472,V03AB
3003346,N0000185503,J05AE
3003347,N0000011161,J01DC
3003348,N0000166469,C03AA
3003349,N0000175685,N02AF
3003350,N0000175629,C05AD
3003351,N0000009010,R05DB
3003352,N0000007707,M05BA
3003353,N0000000191,J01EA
3003354,N0000020060,D06BB
3003355,N0000007948,J01AA
3003356,N0000182137,C01BA
3003357,N0000000151,A02BA
3003358,N0000008048,S01AB
3003359,N0000182141,J05AG
3003361,N0000007530,L01DB
3003362,N0000006496,N07BA
3003363,N0000175721,S01BC
3003364,N0000190482,A16AX
3003365,N0000008054,A10BB
3003366,N0000185607,N03AF
3003368,N0000175370,A03AB
3003369,N0000175379,C02DB
3003370,N0000008832,B01AC
3003371,N0000185503,C01EB
3003373,N0000175366,C03CA
3003375,N0000190114,R07AX
3003376,N0000009282,N06AX
3003377,N0000008953,M03CA
3003378,N0000175460,J05AG
3003379,N0000182960,R03DX
3003380,N0000000233,L01BC
3003381,N0000186778,C10AX
3003382,N0000009922,R03AC
3003383,N0000007542,N05BA
3003384,N0000007647,C01DA
3003385,N0000011281,J01CA
3003386,N0000007672,G01AA
3003387,N0000191276,B02BX
3003388,N0000175366,C03CC
3003389,N0000185506,V03AC
3003390,N0000175076,S01XA
3003391,N0000020060,J05AB
3003392,N0000182141,B01AC
3003393,N0000175735,M03CA
3003394,N0000008836,S01BC
3003395,N0000185507,A04AD
3003396,N0000175375,C10AB
3003398,N0000000160,M01AE
3003400,N0000187064,N03AB
3003401,N0000185507,L02BB
3003402,N0000000069,C08CA
3003403,N0000006320,H01BA
3003404,N0000190114,J05AE
3003405,N0000175729,N06BA
3003406,N0000008486,N03AG
3003407,N0000175650,C02AA
3003408,N0000008486,N03AB
3003409,N0000000236,L01AX
3003410,N0000000176,L01CB
3003411,N0000007707,M05BA
3003412,N0000007672,A01AB
3003413,N0000175730,M03BA
3003414,N0000000069,C08CA
3003415,N0000007530,L01DB
3003416,N0000008577,D01AE
3003417,N0000007853,D06AX
3003418,N0000008217,D01AC
3003419,N0000175729,N06BA
3003420,N0000175450,D07AB
3003421,N0000175761,N04BD
3003422,N0000000125,G04BD
3003423,N0000000109,N06AB
3003424,N0000009922,R03AC
3003425,N0000000233,S01AD
3003426,N0000175975,N01AB
3003427,N0000011294,J01DH
3003428,N0000008486,N03AX
3003429,N0000008832,B01AC
3003431,N0000007659,L01XX
3003432,N0000191272,B02BX
3003433,N0000191275,B02BX
3003434,N0000190118,J05AG
3003435,N0000182141,J02AC
3003436,N0000007620,N04BC
3003437,N0000000196,M03BX
3003438,N0000175728,N05CF
3003440,N0000175450,H02AB
3003441,N0000010258,V08AC
3003442,N0000011281,J01CA
3003443,N0000020060,J05AB
3003444,N0000187062,J05AE
3003445,N0000007556,C08CA
3003446,N0000000243,L02BB
3003447,N0000008010,A04AD
3003448,N0000175975,N01AB
3003449,N0000009916,A08AB
3003450,N0000000176,L01CB
3003451,N0000191266,N03AB
3003452,N0000020074,V03AE
3003453,N0000008241,G03BA
3003454,N0000175448,A10BX
3003455,N0000175833,A06AD
3003456,N0000008217,G01AF
3003457,N0000175436,J05AH
3003458,N0000009963,B01AE
3003459,N0000007647,C05AE
3003460,N0000000233,L01BC
3003461,N0000175976,N01BB
3003462,N0000190114,J05AE
3003463,N0000009947,J05AF
3003464,N0000000144,V03AC
3003465,N0000185504,J01XA
3003466,N0000190109,J05AP
3003467,N0000175730,M03BB
3003468,N0000185504,R07AX
3003469,N0000000069,C08DA
3003470,N0000000168,G03XC
3003471,N0000007853,B05CA
3003472,N0000182140,J05AG
3003473,N0000007529,A07AA
3003474,N0000190115,J05AP
3003475,N0000007530,L01DB
3003476,N0000007556,C08CA
3003477,N0000175073,L01XA
3003478,N0000190855,N07XX
3003479,N0000007618,G02AB
3003480,N0000182141,M04AC
3003481,N0000175459,J05AB
3003482,N0000175684,N02AX
3003483,N0000009918,C02AC
3003484,N0000178477,C08CA
3003486,N0000008732,D06BB
3003487,N0000008054,A10BB
3003488,N0000011310,C03DA
3003489,N0000000235,N03AX
3003490,N0000009909,C05AE
3003491,N0000175721,S01BC
3003492,N0000006801,A05AA
3003493,N0000175721,M01AE
3003494,N0000175721,M01AX
3003495,N0000009982,D10AF
3003496,N0000175721,M01AB
3003497,N0000007641,C10AD
3003498,N0000008479,R02AB
3003499,N0000008048,D06BA
3003500,N0000008832,B01AC
3003501,N0000007909,D05AD
3003502,N0000175459,J05AF
3003503,N0000000190,R01AC
3003504,N0000007246,L01XX
3003505,N0000000070,C09CA
3003506,N0000007681,N01BB
3003507,N0000008118,R03DA
3003508,N0000000190,D04AA
3003509,N0000175721,M02AA
3003510,N0000000100,G03CA
3003511,N0000175721,M02AA
3003512,N0000185503,J02AC
3003513,N0000007522,D01BA
3003514,N0000185503,J01FA
3003515,N0000166469,C03AA
3003516,N0000175508,J02AX
3003517,N0000009948,J05AG
3003518,N0000009909,C01DA
3003519,N0000175684,N01AH
3003520,N0000009034,R06AA
3003521,N0000184306,C05AD
3003522,N0000182638,J05AP
3003524,N0000184145,R07AX
3003525,N0000175975,N01AB
3003526,N0000175721,R02AX
3003527,N0000171207,L01XD
3003528,N0000007556,C08CA
3003529,N0000009059,G04BE
3003530,N0000011280,B01AC
3003531,N0000175721,M01AG
3003532,N0000000190,S01GX
3003533,N0000185503,L04AD
3003534,N0000175450,A01AC
3003535,N0000007853,S01AA
3003536,N0000000144,V03AC
3003537,N0000191269,J05AE
3003539,N0000000070,C09CA
3003540,N0000020060,J05AD
3003541,N0000008836,M02AA
3003542,N0000007948,J01AA
3003543,N0000000109,N06AX
3003544,N0000175076,L01EX
3003545,N0000000236,L01XX
3003546,N0000005760,A07EC
3003547,N0000007700,D10AD
3003548,N0000007780,L01CA
3003549,N0000007621,N02CA
3003550,N0000175359,C03AA
3003551,N0000000233,L01BC
3003552,N0000000191,P01BD
3003553,N0000175450,C05AA
3003555,N0000009947,J05AF
3003556,N0000000236,L01AD
3003557,N0000175976,N01BA
3003558,N0000190108,J05AP
3003559,N0000175862,V08CA
3003560,N0000007542,N05CD
