,DIAG,SYMP
2594843,365,37940
2594845,1940,78842
2594849,1922,3332
2594850,53085,27800
2594854,1361,71940
2594859,150,78791
2594861,7200,7242
2594862,3320,56400
2594864,3459,2982
2594867,1640,78791
2594868,365,37946
2594870,346,7231
2594878,3320,7235
2594879,2859,36854
2594880,186,78900
2594888,7100,78900
2594890,440,413
2594893,7200,3441
2594895,2990,31501
2594897,179,6253
2594915,73300,7242
2594916,5920,7245
2594917,2859,36281
2594923,1490,7823
2594925,188,7830
2594926,3310,2911
2594931,1830,78060
2594949,99791,38812
2594950,1535,78900
2594955,2449,78057
2594959,84,78261
2594960,6960,7245
2594965,2396,36841
2594967,5920,59654
2594968,186,3899
2594970,31401,78052
2594975,1490,78442
2594978,1830,56400
2594983,440,4111
2594987,27800,32723
2594994,3051,78052
2594996,7159,7245
2594998,3051,3382
2595000,157,78791
2595026,2396,34400
2595028,346,38611
2595034,1922,7961
2595036,52100,317
2595037,33520,78057
2595045,1922,7231
2595046,2396,78601
2595049,7159,7823
2595050,2564,27800
2595052,340,7197
2595053,6960,7823
2595055,7100,78060
2595060,7200,34400
2595063,5234,7823
2595065,33520,3441
2595066,2564,6253
2595072,33520,3334
2595075,1619,47830
2595080,4461,2870
2595087,5920,7880
2595091,1361,78060
2595098,7200,3382
2595100,1940,3332
2595107,29680,78093
2595108,387,38861
2595109,477,32713
2595112,1830,7994
2595113,188,7823
2595114,2777,59651
2595127,27400,7245
2595131,2396,78341
2595137,150,7843
2595146,5920,78842
2595153,1490,7235
2595170,2396,78603
2595172,7140,28731
2595180,5859,32751
2595182,53085,7871
2595184,365,37923
2595186,73300,7817
2595193,1922,7245
2595195,2859,78060
2595196,74910,317
2595200,2396,78842
2595209,2449,7823
2595214,5770,338
2595219,2449,7817
2595225,51631,78605
2595231,340,56400
2595232,3310,2982
2595233,410,4111
2595239,2777,78321
2595243,340,3429
2595250,2777,32723
2595251,346,7813
2595253,1640,78605
2595260,33520,37855
2595274,3459,7803
2595280,29680,2982
2595290,5859,78057
2595294,2564,7041
2595299,5859,7830
2595304,179,7823
2595305,1519,5780
2595308,1552,78060
2595311,5569,28731
2595314,5790,78791
2595319,29680,36854
2595321,188,7910
2595322,303,317
2595326,5569,78900
2595329,179,78900
2595331,295,317
2595332,7100,2870
2595337,3320,32742
