,SYMP,DRUG
923,5997,J01DC
924,4111,N07BB
925,78900,J05AH
926,7840,R06AA
927,2875,J01DH
928,6959,N02BF
929,78820,N04BC
930,5789,L01CE
931,78900,J05AG
932,6959,J01XX
933,78650,N03AX
934,4111,C10AA
935,78791,P01BA
936,7821,C10AA
937,6959,D10AX
938,2875,V03AC
939,2699,N05CH
940,7231,N02CC
942,7823,B05BC
943,4589,C01CA
944,72885,C09AA
945,7823,L01EA
946,7872,L01BB
947,7840,N01AH
948,5997,M03BX
949,5849,M05BA
950,7823,C07AA
951,7840,M01AB
952,78550,N04BX
953,4589,N05AH
954,2875,J04AD
955,7295,N05BA
956,78550,C03CA
957,3689,J01MA
958,56400,L01AC
959,78605,S01GX
960,78791,N05AX
961,78900,N03AF
962,7295,G04BE
963,78605,C09AA
964,78650,M05BA
965,78550,N06DA
966,586,N05BE
967,7840,L01BC
968,7821,G04CA
969,2875,R05DA
970,7231,N07AA
971,78650,L01EA
972,586,C10AB
973,78900,H05BX
974,9916,N04BB
975,78052,N06BA
976,6959,S02AA
977,2875,J01AA
978,78052,C07AB
979,6959,N03AX
980,78052,N05AB
981,78605,S01EC
982,5849,C03DB
983,7907,L01BB
984,78650,L01AA
985,78900,N02BF
986,78791,N06BA
987,56400,C03AA
988,7840,R03DX
989,5849,L01XG
990,78550,J05AE
991,7821,N02CX
992,4131,N02CA
993,7907,J01DD
995,4589,C09CA
996,7872,N03AG
997,586,L01BC
998,7802,C08CA
999,56400,L01AA
1000,5789,M01AB
1001,78550,L01XX
1002,78791,N04BC
1003,3689,C01BC
1004,78052,N05AX
1005,3899,C07AG
1006,7802,N03AX
1007,586,B05CB
1008,2875,L01XX
1009,4279,G04BE
1010,78605,A03BA
1011,4279,L01BC
1012,7840,J05AE
1013,78052,M03BA
1014,7823,L01XX
1015,7802,B01AC
1016,2875,B01AX
1017,78650,C09CA
1018,78791,J01DC
1019,78650,C07AG
1020,5849,M01AC
1021,3689,N06AX
1022,7863,N04BC
1023,3689,D05BB
1024,78550,M03BX
1025,78900,P01BA
1026,27651,C01EB
1027,56400,S01GX
1028,78605,V03AC
1029,78820,N06AB
1030,586,L04AD
1031,78820,S01FA
1032,3689,M01AB
1033,7821,A10BF
1034,71690,J01MA
1035,78605,J05AD
1036,7821,M01AE
1037,586,M01AC
1038,5849,J05AE
1039,78900,M05BA
1040,5789,G01AA
1041,78650,C03BA
1042,7840,R03CC
1043,2875,J01EC
1044,78052,C07AA
1045,56400,A07EA
1046,2875,C03BA
1047,78605,L01BC
1048,78605,J01EA
1049,72885,N05CH
1050,72885,G04BE
1051,5849,J01MA
1052,7863,N06AB
1053,7823,N06AX
1054,78900,A04AD
1055,7863,C10AD
1056,78605,C07AG
1057,7840,N05AX
1058,7821,L01XB
1059,72885,M03BX
1061,7840,C05AE
1062,78650,L01XX
1063,586,L01EA
1064,78550,L01DC
1065,78550,N05AX
1066,78791,L01XA
1067,78605,L02BG
1068,78550,H05BX
1069,78052,D07AB
1070,56400,C07AG
1071,56400,N06BA
1072,78900,S01AA
1073,7872,J05AP
1074,78791,C02CA
1075,78551,L01DB
1076,4589,D06BB
1077,78650,C10AA
1078,78052,J02AX
1079,9916,M05BA
1081,7821,N06BC
1082,5849,C09AA
1083,72885,N05CD
1084,78650,N06DA
1085,78791,L01BC
1086,56400,M01AE
1087,78052,J05AE
1088,7821,C01BD
1089,4589,C08CA
1090,2699,J02AC
1091,7231,L01BC
1092,7823,M03BX
1093,6959,D08AE
1094,78791,C09CA
1095,7840,C09CA
1096,5119,J01MA
1097,6959,A07EA
1098,78650,J01MA
1099,7840,L01EX
1100,5849,J01DH
1101,3709,S03BA
1102,3689,A10BX
1103,5781,N03AF
1104,72885,A03FA
1105,78791,L01CE
1106,485,S01AA
1107,7295,J05AH
1108,4589,N05BA
1109,56400,J01MA
1110,71690,M01AH
1112,78650,C09AA
1113,2875,C03AA
1114,78605,N06AB
1115,78550,C07AA
1116,78550,R03AA
1117,78052,J01MA
1118,5119,L04AX
1119,5997,N07XX
1120,78900,N06AA
1121,78605,C03AA
1122,7821,N06AG
1123,5849,C10AB
1125,78791,R03BA
1126,586,C09AA
1127,7840,N05CH
1128,78052,N06AA
1129,78791,A04AA
1130,7821,G04BD
1131,72885,L02BA
1132,4279,C01BD
1133,586,C09AA
1134,78791,J05AP
1135,4279,C01CE
1136,5997,N05CH
1137,78900,J05AF
1138,78820,L01AA
1139,7821,N05BA
1140,5789,D01AA
1141,2875,A04AA
1143,78551,C01BB
1144,78900,C01EB
1145,7823,A02BC
1146,7821,B05BC
1147,7823,N05AX
1148,586,D06AX
1149,2699,G04BD
1150,7840,J01AA
1151,7823,S03BA
1152,78820,N01BB
1153,586,L01AA
1154,7821,D06AA
1155,27651,N06BA
1156,78605,N04BB
1157,5849,H03BA
1158,5789,V03AC
1159,78052,N05AH
1160,7802,N05AG
1161,2699,L01BA
1163,78605,L01AA
1164,78605,L04AX
1165,5780,J01MA
1166,7821,L01AD
1167,2699,N02AX
1168,3899,N04BC
1169,4279,J02AC
1170,78650,N02CC
1171,4589,L01BB
1172,586,G04BX
1173,56400,N05AB
1174,4279,N06AA
1175,7242,N02AA
1176,72885,G04BE
1177,7872,S01FA
1178,2875,N06AB
1179,7863,B01AC
1180,72885,J05AE
1181,4589,L04AX
1182,7242,R05DA
1183,7872,J02AC
1184,7840,A10BH
1185,5849,L01XG
1186,78052,D06BB
1187,4279,R05DA
1188,7821,A10BX
1189,56400,S01EC
1190,78605,S01FA
1191,56400,C09AA
1192,5997,N03AG
1193,5781,N06DA
1194,5119,N01BB
1195,5849,N05CF
1196,78550,S01GX
1197,6959,N01AH
1198,5119,L01EA
1199,78605,C08CA
1200,7840,R05DA
1201,78820,J05AD
1202,586,L01XX
1203,78605,N03AX
1204,37520,C09AA
1205,78605,C10AA
1206,7823,A10BH
1207,78650,H05BX
1208,2875,C07AB
1209,5780,B01AF
1210,586,B05BC
1211,78052,C01BA
1212,78906,R03CC
1213,5849,L01DB
1214,2699,C08CA
1215,78791,C01BD
1216,7823,G03DC
1217,78820,N05AG
1218,78900,C10AA
1219,5997,N03AF
1220,7840,J01DD
1221,78900,A10BB
1222,78791,L01DB
1223,7231,C07AB
1224,71690,C08CA
1225,7821,N03AA
1226,78550,L01EX
1227,586,L01CB
1228,7823,A07EC
1229,27651,J05AH
1230,78820,C07AB
1231,78605,N05AH
1232,5997,J01FA
1233,78791,R03DA
1234,7823,N02BE
1235,2875,N01BB
1236,7802,G03BA
1237,78791,G03XC
1239,78550,L04AX
1240,7840,N07BA
1241,78052,R03DC
1242,72885,N06BA
1243,7295,L01BB
1245,7821,J01MA
1246,7823,N05BA
1247,78791,P01AX
1248,72885,N02CC
1249,7821,N05BA
1250,5789,N02AX
1251,7863,J01DH
1252,78052,N05CH
1253,56400,N05CD
1254,7823,S01ED
1255,6959,J01MA
1257,7295,C03DB
1258,78791,M01AH
1259,72885,N05AE
1260,2875,J01MA
1261,72885,M05BA
1262,78550,D07AB
1263,7821,D05AX
1264,5849,J04AB
1265,5849,L04AX
1266,7821,A10BK
1267,7840,A04AA
1268,5997,L04AX
1269,4279,L01AD
1271,7840,B01AC
1272,7821,M01AC
1273,7840,N05BB
1274,4279,N05BA
1275,78052,G04CA
1276,27651,J05AE
1277,7821,C03CC
1278,78551,C07AB
1279,7863,L01EX
1280,7231,J05AF
1281,72885,M05BA
1282,78052,C08CA
1283,4589,C09AA
1284,7840,N05CH
1285,7821,N05AH
1286,37520,G03BA
1287,7840,J01DH
1288,7872,N05AB
1289,7812,J01MA
1290,78791,L01EA
1291,78820,L01BC
1292,6959,R01AA
1293,485,L01CD
1294,78791,N04BC
1295,7802,N05CD
1296,7872,A02BC
1297,78650,J04AB
1298,5789,J01MA
1299,7821,N06AX
1300,2699,N03AD
1301,7840,L01CE
1302,4589,C02AC
