,SYMP,DRUG
780,7821,J05A
781,78791,N03A
782,72885,A05A
783,7821,C08C
784,3441,L01B
785,7890,L01B
786,78605,N05B
787,7840,D10A
788,2875,N03A
789,5789,L01A
790,5640,G02C
791,7295,B01A
792,78605,C09A
793,7840,J01E
794,5640,J01X
795,4131,C08C
796,7890,S01E
797,78052,N06A
798,78052,A03F
799,78052,N02C
800,2875,N03A
801,72885,N05A
802,7872,N07X
803,27651,C03C
804,7840,H02A
805,78605,M05B
806,7872,N05A
807,5849,B01A
808,7865,L01D
809,7872,C09C
810,7865,N05A
811,7863,J01M
812,7890,A10B
813,6959,D05A
814,7882,C02D
815,4589,N05B
816,4589,R03C
817,7802,N02A
818,5640,M01A
819,27651,N06A
820,78605,N06B
821,5780,L01X
822,5640,L01E
823,5119,C01B
824,5789,J01M
825,7907,N06A
826,7872,G04B
827,3752,C04A
828,7890,J01D
829,7865,N06A
830,2875,R06A
831,3752,J05A
832,5640,C07A
833,7823,S01B
834,7855,V03A
835,5860,L01B
836,3689,M03B
837,7872,N05A
838,7865,J02A
839,7890,D01A
840,5860,P01B
841,7840,A03A
842,5860,L01B
843,7855,J01C
844,78906,D09A
845,7855,L01X
846,7821,J01C
847,7821,L01C
848,7295,M05B
849,2875,N06A
850,7802,C01B
851,7802,G03A
852,7865,S01A
853,72885,L01E
854,7821,A02B
855,2699,N05A
856,4279,H05B
857,5640,M01A
858,4279,N05A
859,5860,J05A
860,2875,J05A
861,5849,J01M
862,7882,G04B
863,7823,C01D
864,2875,D01A
865,4589,L01A
866,7890,B01A
867,78605,N06D
868,4279,C09A
869,7840,S02B
870,7821,A07E
871,3689,S01E
873,7823,C03C
874,2875,L01E
875,78791,N03A
876,7802,G03D
877,78052,C10A
878,7890,M01A
879,7865,M01A
880,7865,J01M
881,3710,A16A
882,7821,N06A
883,7823,C07A
884,4279,N05B
885,5860,M01A
886,7812,M03B
887,7231,A02B
888,72885,G03X
889,7821,J01M
890,7840,C10A
891,9916,N05B
892,4589,C03A
893,78791,S01G
894,3899,J05A
895,3689,C07A
896,5860,N05A
897,7855,S01E
898,7231,C09A
899,7231,C08C
901,3752,L01X
902,7865,N06B
903,72885,N07X
904,7231,N01B
905,78791,V03A
906,7855,M02A
907,4589,N02A
908,7872,M01A
909,7890,A16A
910,72885,C07A
911,7865,C09A
912,7840,N04B
914,7295,A02B
915,27651,R05D
916,78052,N02A
917,7890,S01A
